,record_id,borrower_id,borrower_age,borrower_income,business_uid,business_annual_income,business_annual_revenue,business_annual_expense,business_age,business_no_of_employees,loan_amount_asked,loan_amount_offered,loan_interest_rate,loan_duration_months,loan_monthly_payment,business_default,business_previous_loan,final_credit_score,final_loan_verdict
0,82400,9527760,25,556000,280151365890,600000,4386000,3279000,6,22,18341000,16506900.0,25,66,343893.75,0,0,525.0,1
1,48646,9344500,50,218000,228587523090,1990000,8219000,2991000,26,70,14542000,13814900.0,24,72,287810.4166666670,0,0,725.0,1
2,90763,2524040,44,1078000,296851515040,840000,5303000,3169000,6,8,13144000,11829600.0,26,60,246450.0,0,0,425.0,0
3,82937,4601760,32,68000,382013948500,1880000,8979000,2183000,8,8,3362000,3025800.0,20,48,63037.5,0,0,450.0,0
4,97751,7091320,54,169000,291284787690,1970000,8378000,6052000,8,2,39252000,35326800.0,27,72,735975.0,0,0,450.0,0
5,16015,1994900,46,976000,224992931910,1010000,7922000,5230000,20,84,18684000,17749800.0,25,54,369787.5,0,0,675.0,1
6,31789,6891100,57,1151000,251579235030,1300000,10173000,9720000,32,62,12555000,11927250.0,29,90,248484.375,0,0,725.0,1
7,24721,6847440,32,582000,365469567590,1740000,12815000,7606000,24,84,57341000,54473950.0,27,84,1134873.9583333300,0,0,725.0,1
8,20539,981580,59,1141000,220611377260,270000,2272000,1920000,14,46,5857000,5271300.0,28,72,109818.75,0,0,575.0,1
9,86189,5599900,48,854000,347652098900,130000,500000,314000,8,10,2480000,1984000.0,27,54,41333.333333333300,0,0,325.0,0
10,48406,5239000,45,1907000,386232678000,820000,7356000,4286000,8,36,6735000,6061500.0,26,48,126281.25,0,0,575.0,1
11,66434,5417320,59,614000,226218462690,1330000,10049000,6758000,16,52,34877000,33133150.0,28,90,690273.9583333330,0,0,675.0,1
12,14024,7728600,56,1230000,324757558210,490000,2173000,1162000,6,4,3006000,2404800.0,28,60,50100.0,0,0,375.0,0
13,18502,5214240,39,1623000,261586808380,10000,48000,13000,38,18,114000,102600.0,21,60,2137.5,0,0,425.0,0
